sampid,type,subgroup_category,benchmark_category,benchmark_source,response_rate,n,phat,p0,v0
Opt-in 2,nonprob,65+,Speaks English well or better,2021 ACS,0,1336,0.988860426,0.946289474,1.50E-07
Opt-in 3,nonprob,65+,Speaks English well or better,2021 ACS,0,1175,0.997945793,0.946289474,1.50E-07
Probability 1,prob,65+,Speaks English well or better,2021 ACS,1.4,1432,0.955838422,0.946289474,1.50E-07
Probability 2,prob,65+,Speaks English well or better,2021 ACS,3,1261,0.9838644,0.946289474,1.50E-07
Probability 3,prob,65+,Speaks English well or better,2021 ACS,7,1400,0.970098102,0.946289474,1.50E-07
Opt-in 1,nonprob,College grad,Speaks English well or better,2021 ACS,0,1598,0.984057933,0.985319863,2.96E-08
Opt-in 2,nonprob,College grad,Speaks English well or better,2021 ACS,0,1953,0.968731384,0.985319863,2.96E-08
Opt-in 3,nonprob,College grad,Speaks English well or better,2021 ACS,0,1799,0.982162951,0.985319863,2.96E-08
Probability 1,prob,College grad,Speaks English well or better,2021 ACS,1.4,1867,0.988706955,0.985319863,2.96E-08
Probability 2,prob,College grad,Speaks English well or better,2021 ACS,3,2147,0.990127628,0.985319863,2.96E-08
Probability 3,prob,College grad,Speaks English well or better,2021 ACS,7,2166,0.984784684,0.985319863,2.96E-08
Opt-in 1,nonprob,HS or less,Speaks English well or better,2021 ACS,0,1756,0.971922985,0.901468198,2.33E-07
Opt-in 2,nonprob,HS or less,Speaks English well or better,2021 ACS,0,1439,0.941342673,0.901468198,2.33E-07
Opt-in 3,nonprob,HS or less,Speaks English well or better,2021 ACS,0,1511,0.974592459,0.901468198,2.33E-07
Probability 1,prob,HS or less,Speaks English well or better,2021 ACS,1.4,1617,0.913262466,0.901468198,2.33E-07
Probability 2,prob,HS or less,Speaks English well or better,2021 ACS,3,1628,0.955749313,0.901468198,2.33E-07
Probability 3,prob,HS or less,Speaks English well or better,2021 ACS,7,1054,0.953523922,0.901468198,2.33E-07
Opt-in 1,nonprob,Some college,Speaks English well or better,2021 ACS,0,1558,0.978713082,0.982228272,5.68E-08
Opt-in 2,nonprob,Some college,Speaks English well or better,2021 ACS,0,1539,0.974341807,0.982228272,5.68E-08
Opt-in 3,nonprob,Some college,Speaks English well or better,2021 ACS,0,1645,0.991247267,0.982228272,5.68E-08
Probability 1,prob,Some college,Speaks English well or better,2021 ACS,1.4,1543,0.976427314,0.982228272,5.68E-08
Probability 2,prob,Some college,Speaks English well or better,2021 ACS,3,1363,0.979895205,0.982228272,5.68E-08
Probability 3,prob,Some college,Speaks English well or better,2021 ACS,7,1743,0.981162598,0.982228272,5.68E-08
Opt-in 1,nonprob,All adults,Speaks English well or better,2021 ACS,0,4912,0.977871161,0.952949914,5.96E-08
Opt-in 2,nonprob,All adults,Speaks English well or better,2021 ACS,0,4931,0.960191409,0.952949914,5.96E-08
Opt-in 3,nonprob,All adults,Speaks English well or better,2021 ACS,0,4955,0.982258498,0.952949914,5.96E-08
Probability 1,prob,All adults,Speaks English well or better,2021 ACS,1.4,5027,0.956553455,0.952949914,5.96E-08
Probability 2,prob,All adults,Speaks English well or better,2021 ACS,3,5147,0.973670125,0.952949914,5.96E-08
Probability 3,prob,All adults,Speaks English well or better,2021 ACS,7,4965,0.972539073,0.952949914,5.96E-08
Opt-in 1,nonprob,Black non-Hispanic,Speaks English well or better,2021 ACS,0,656,0.982497168,0.989531063,9.42E-08
Opt-in 2,nonprob,Black non-Hispanic,Speaks English well or better,2021 ACS,0,676,0.947414417,0.989531063,9.42E-08
Opt-in 3,nonprob,Black non-Hispanic,Speaks English well or better,2021 ACS,0,623,0.97930203,0.989531063,9.42E-08
Probability 1,prob,Black non-Hispanic,Speaks English well or better,2021 ACS,1.4,470,0.984980071,0.989531063,9.42E-08
Probability 2,prob,Black non-Hispanic,Speaks English well or better,2021 ACS,3,529,0.981997301,0.989531063,9.42E-08
Probability 3,prob,Black non-Hispanic,Speaks English well or better,2021 ACS,7,422,0.959267139,0.989531063,9.42E-08
Opt-in 1,nonprob,Hispanic,Speaks English well or better,2021 ACS,0,904,0.932457557,0.807499949,1.33E-06
Opt-in 2,nonprob,Hispanic,Speaks English well or better,2021 ACS,0,852,0.848688645,0.807499949,1.33E-06
Opt-in 3,nonprob,Hispanic,Speaks English well or better,2021 ACS,0,884,0.929571705,0.807499949,1.33E-06
Probability 1,prob,Hispanic,Speaks English well or better,2021 ACS,1.4,575,0.817244205,0.807499949,1.33E-06
Probability 2,prob,Hispanic,Speaks English well or better,2021 ACS,3,809,0.886679779,0.807499949,1.33E-06
Probability 3,prob,Hispanic,Speaks English well or better,2021 ACS,7,318,0.892089508,0.807499949,1.33E-06
Opt-in 1,nonprob,White non-Hispanic,Speaks English well or better,2021 ACS,0,3079,0.991094696,0.9942825,7.12E-09
Opt-in 2,nonprob,White non-Hispanic,Speaks English well or better,2021 ACS,0,3245,0.991647207,0.9942825,7.12E-09
Opt-in 3,nonprob,White non-Hispanic,Speaks English well or better,2021 ACS,0,3148,0.997281024,0.9942825,7.12E-09
Probability 1,prob,White non-Hispanic,Speaks English well or better,2021 ACS,1.4,3596,0.993394865,0.9942825,7.12E-09
Probability 2,prob,White non-Hispanic,Speaks English well or better,2021 ACS,3,3362,0.99872241,0.9942825,7.12E-09
Probability 3,prob,White non-Hispanic,Speaks English well or better,2021 ACS,7,3851,0.991939559,0.9942825,7.12E-09
Opt-in 1,nonprob,18-29,Single adult household,2021 ACS,0,1170,0.266568424,0.155710434,3.58E-07
Opt-in 2,nonprob,18-29,Single adult household,2021 ACS,0,1031,0.271750826,0.155710434,3.58E-07
Opt-in 3,nonprob,18-29,Single adult household,2021 ACS,0,693,0.267286122,0.155710434,3.58E-07
Probability 1,prob,18-29,Single adult household,2021 ACS,1.4,585,0.146503174,0.155710434,3.58E-07
Probability 2,prob,18-29,Single adult household,2021 ACS,3,655,0.105033856,0.155710434,3.58E-07
Probability 3,prob,18-29,Single adult household,2021 ACS,7,363,0.150951946,0.155710434,3.58E-07
Opt-in 1,nonprob,30-64,Single adult household,2021 ACS,0,2637,0.275868083,0.156438373,1.16E-07
Opt-in 2,nonprob,30-64,Single adult household,2021 ACS,0,2564,0.248464583,0.156438373,1.16E-07
Opt-in 3,nonprob,30-64,Single adult household,2021 ACS,0,3087,0.275649795,0.156438373,1.16E-07
Probability 1,prob,30-64,Single adult household,2021 ACS,1.4,3010,0.187351542,0.156438373,1.16E-07
Probability 2,prob,30-64,Single adult household,2021 ACS,3,3192,0.146014763,0.156438373,1.16E-07
Probability 3,prob,30-64,Single adult household,2021 ACS,7,3195,0.194955227,0.156438373,1.16E-07
Opt-in 1,nonprob,65+,Single adult household,2021 ACS,0,1105,0.306893562,0.269811291,5.97E-07
Opt-in 2,nonprob,65+,Single adult household,2021 ACS,0,1336,0.303378324,0.269811291,5.97E-07
Opt-in 3,nonprob,65+,Single adult household,2021 ACS,0,1175,0.37814879,0.269811291,5.97E-07
Probability 1,prob,65+,Single adult household,2021 ACS,1.4,1432,0.264118372,0.269811291,5.97E-07
Probability 2,prob,65+,Single adult household,2021 ACS,3,1261,0.195149511,0.269811291,5.97E-07
Probability 3,prob,65+,Single adult household,2021 ACS,7,1400,0.332881059,0.269811291,5.97E-07
Opt-in 1,nonprob,College grad,Single adult household,2021 ACS,0,1598,0.295229054,0.174527632,2.43E-07
Opt-in 2,nonprob,College grad,Single adult household,2021 ACS,0,1953,0.245056711,0.174527632,2.43E-07
Opt-in 3,nonprob,College grad,Single adult household,2021 ACS,0,1799,0.278273295,0.174527632,2.43E-07
Probability 1,prob,College grad,Single adult household,2021 ACS,1.4,1867,0.193071052,0.174527632,2.43E-07
Probability 2,prob,College grad,Single adult household,2021 ACS,3,2147,0.144026006,0.174527632,2.43E-07
Probability 3,prob,College grad,Single adult household,2021 ACS,7,2166,0.183358051,0.174527632,2.43E-07
Opt-in 1,nonprob,HS or less,Single adult household,2021 ACS,0,1756,0.263216126,0.168824424,2.56E-07
Opt-in 2,nonprob,HS or less,Single adult household,2021 ACS,0,1439,0.293642464,0.168824424,2.56E-07
Opt-in 3,nonprob,HS or less,Single adult household,2021 ACS,0,1511,0.324506309,0.168824424,2.56E-07
Probability 1,prob,HS or less,Single adult household,2021 ACS,1.4,1617,0.217332131,0.168824424,2.56E-07
Probability 2,prob,HS or less,Single adult household,2021 ACS,3,1628,0.161612546,0.168824424,2.56E-07
Probability 3,prob,HS or less,Single adult household,2021 ACS,7,1054,0.248802185,0.168824424,2.56E-07
Opt-in 1,nonprob,Some college,Single adult household,2021 ACS,0,1558,0.287004605,0.202313025,3.41E-07
Opt-in 2,nonprob,Some college,Single adult household,2021 ACS,0,1539,0.251525993,0.202313025,3.41E-07
Opt-in 3,nonprob,Some college,Single adult household,2021 ACS,0,1645,0.282782961,0.202313025,3.41E-07
Probability 1,prob,Some college,Single adult household,2021 ACS,1.4,1543,0.169811744,0.202313025,3.41E-07
Probability 2,prob,Some college,Single adult household,2021 ACS,3,1363,0.139798739,0.202313025,3.41E-07
Probability 3,prob,Some college,Single adult household,2021 ACS,7,1743,0.220644803,0.202313025,3.41E-07
Opt-in 1,nonprob,All adults,Single adult household,2021 ACS,0,4912,0.280725627,0.180637423,6.61E-08
Opt-in 2,nonprob,All adults,Single adult household,2021 ACS,0,4931,0.265246051,0.180637423,6.61E-08
Opt-in 3,nonprob,All adults,Single adult household,2021 ACS,0,4955,0.296358216,0.180637423,6.61E-08
Probability 1,prob,All adults,Single adult household,2021 ACS,1.4,5027,0.195074886,0.180637423,6.61E-08
Probability 2,prob,All adults,Single adult household,2021 ACS,3,5147,0.149077135,0.180637423,6.61E-08
Probability 3,prob,All adults,Single adult household,2021 ACS,7,4965,0.218056995,0.180637423,6.61E-08
Opt-in 1,nonprob,Black non-Hispanic,Single adult household,2021 ACS,0,656,0.408854137,0.265393332,1.00E-06
Opt-in 2,nonprob,Black non-Hispanic,Single adult household,2021 ACS,0,676,0.397137947,0.265393332,1.00E-06
Opt-in 3,nonprob,Black non-Hispanic,Single adult household,2021 ACS,0,623,0.357947723,0.265393332,1.00E-06
Probability 1,prob,Black non-Hispanic,Single adult household,2021 ACS,1.4,470,0.2799714,0.265393332,1.00E-06
Probability 2,prob,Black non-Hispanic,Single adult household,2021 ACS,3,529,0.20750385,0.265393332,1.00E-06
Probability 3,prob,Black non-Hispanic,Single adult household,2021 ACS,7,422,0.354496203,0.265393332,1.00E-06
Opt-in 1,nonprob,Hispanic,Single adult household,2021 ACS,0,904,0.219560582,0.117110449,4.77E-07
Opt-in 2,nonprob,Hispanic,Single adult household,2021 ACS,0,852,0.262275766,0.117110449,4.77E-07
Opt-in 3,nonprob,Hispanic,Single adult household,2021 ACS,0,884,0.254756305,0.117110449,4.77E-07
Probability 1,prob,Hispanic,Single adult household,2021 ACS,1.4,575,0.127801539,0.117110449,4.77E-07
Probability 2,prob,Hispanic,Single adult household,2021 ACS,3,809,0.101467897,0.117110449,4.77E-07
Probability 3,prob,Hispanic,Single adult household,2021 ACS,7,318,0.141304391,0.117110449,4.77E-07
Opt-in 1,nonprob,White non-Hispanic,Single adult household,2021 ACS,0,3079,0.269620582,0.188683854,1.22E-07
Opt-in 2,nonprob,White non-Hispanic,Single adult household,2021 ACS,0,3245,0.238125495,0.188683854,1.22E-07
Opt-in 3,nonprob,White non-Hispanic,Single adult household,2021 ACS,0,3148,0.300938813,0.188683854,1.22E-07
Probability 1,prob,White non-Hispanic,Single adult household,2021 ACS,1.4,3596,0.208630142,0.188683854,1.22E-07
Probability 2,prob,White non-Hispanic,Single adult household,2021 ACS,3,3362,0.155154819,0.188683854,1.22E-07
Probability 3,prob,White non-Hispanic,Single adult household,2021 ACS,7,3851,0.217348019,0.188683854,1.22E-07
Opt-in 1,nonprob,18-29,1+ child in HH,2021 ACS,0,1170,0.402053071,0.329533114,1.16E-06
Opt-in 2,nonprob,18-29,1+ child in HH,2021 ACS,0,1031,0.40673341,0.329533114,1.16E-06
Opt-in 3,nonprob,18-29,1+ child in HH,2021 ACS,0,693,0.3625173,0.329533114,1.16E-06
Probability 1,prob,18-29,1+ child in HH,2021 ACS,1.4,585,0.296278513,0.329533114,1.16E-06
Probability 2,prob,18-29,1+ child in HH,2021 ACS,3,655,0.340530607,0.329533114,1.16E-06
Probability 3,prob,18-29,1+ child in HH,2021 ACS,7,363,0.344280623,0.329533114,1.16E-06
Opt-in 1,nonprob,30-64,1+ child in HH,2021 ACS,0,2637,0.375129331,0.427835807,5.31E-07
Opt-in 2,nonprob,30-64,1+ child in HH,2021 ACS,0,2564,0.355289314,0.427835807,5.31E-07
Opt-in 3,nonprob,30-64,1+ child in HH,2021 ACS,0,3087,0.322728543,0.427835807,5.31E-07
Probability 1,prob,30-64,1+ child in HH,2021 ACS,1.4,3010,0.383971909,0.427835807,5.31E-07
Probability 2,prob,30-64,1+ child in HH,2021 ACS,3,3192,0.4133792,0.427835807,5.31E-07
Probability 3,prob,30-64,1+ child in HH,2021 ACS,7,3195,0.401577011,0.427835807,5.31E-07
Opt-in 1,nonprob,65+,1+ child in HH,2021 ACS,0,1105,0.037454304,0.068607579,2.89E-07
Opt-in 2,nonprob,65+,1+ child in HH,2021 ACS,0,1336,0.031475047,0.068607579,2.89E-07
Opt-in 3,nonprob,65+,1+ child in HH,2021 ACS,0,1175,0.023792238,0.068607579,2.89E-07
Probability 1,prob,65+,1+ child in HH,2021 ACS,1.4,1432,0.070640832,0.068607579,2.89E-07
Probability 2,prob,65+,1+ child in HH,2021 ACS,3,1261,0.06202124,0.068607579,2.89E-07
Probability 3,prob,65+,1+ child in HH,2021 ACS,7,1400,0.044713843,0.068607579,2.89E-07
Opt-in 1,nonprob,College grad,1+ child in HH,2021 ACS,0,1598,0.346348418,0.331631165,4.86E-07
Opt-in 2,nonprob,College grad,1+ child in HH,2021 ACS,0,1953,0.341983102,0.331631165,4.86E-07
Opt-in 3,nonprob,College grad,1+ child in HH,2021 ACS,0,1799,0.322918136,0.331631165,4.86E-07
Probability 1,prob,College grad,1+ child in HH,2021 ACS,1.4,1867,0.317950809,0.331631165,4.86E-07
Probability 2,prob,College grad,1+ child in HH,2021 ACS,3,2147,0.320356214,0.331631165,4.86E-07
Probability 3,prob,College grad,1+ child in HH,2021 ACS,7,2166,0.330063651,0.331631165,4.86E-07
Opt-in 1,nonprob,HS or less,1+ child in HH,2021 ACS,0,1756,0.282847916,0.339236058,9.95E-07
Opt-in 2,nonprob,HS or less,1+ child in HH,2021 ACS,0,1439,0.24904274,0.339236058,9.95E-07
Opt-in 3,nonprob,HS or less,1+ child in HH,2021 ACS,0,1511,0.210855096,0.339236058,9.95E-07
Probability 1,prob,HS or less,1+ child in HH,2021 ACS,1.4,1617,0.300370224,0.339236058,9.95E-07
Probability 2,prob,HS or less,1+ child in HH,2021 ACS,3,1628,0.34376826,0.339236058,9.95E-07
Probability 3,prob,HS or less,1+ child in HH,2021 ACS,7,1054,0.28458015,0.339236058,9.95E-07
Opt-in 1,nonprob,Some college,1+ child in HH,2021 ACS,0,1558,0.296683695,0.319080824,7.15E-07
Opt-in 2,nonprob,Some college,1+ child in HH,2021 ACS,0,1539,0.304372176,0.319080824,7.15E-07
Opt-in 3,nonprob,Some college,1+ child in HH,2021 ACS,0,1645,0.267706778,0.319080824,7.15E-07
Probability 1,prob,Some college,1+ child in HH,2021 ACS,1.4,1543,0.278780476,0.319080824,7.15E-07
Probability 2,prob,Some college,1+ child in HH,2021 ACS,3,1363,0.301053203,0.319080824,7.15E-07
Probability 3,prob,Some college,1+ child in HH,2021 ACS,7,1743,0.324598923,0.319080824,7.15E-07
Opt-in 1,nonprob,All adults,1+ child in HH,2021 ACS,0,4912,0.307261875,0.330757714,3.49E-07
Opt-in 2,nonprob,All adults,1+ child in HH,2021 ACS,0,4931,0.295617564,0.330757714,3.49E-07
Opt-in 3,nonprob,All adults,1+ child in HH,2021 ACS,0,4955,0.26530225,0.330757714,3.49E-07
Probability 1,prob,All adults,1+ child in HH,2021 ACS,1.4,5027,0.299334004,0.330757714,3.49E-07
Probability 2,prob,All adults,1+ child in HH,2021 ACS,3,5147,0.323348383,0.330757714,3.49E-07
Probability 3,prob,All adults,1+ child in HH,2021 ACS,7,4965,0.31242304,0.330757714,3.49E-07
Opt-in 1,nonprob,Black non-Hispanic,1+ child in HH,2021 ACS,0,656,0.381552652,0.346284671,3.40E-06
Opt-in 2,nonprob,Black non-Hispanic,1+ child in HH,2021 ACS,0,676,0.32205168,0.346284671,3.40E-06
Opt-in 3,nonprob,Black non-Hispanic,1+ child in HH,2021 ACS,0,623,0.262865373,0.346284671,3.40E-06
Probability 1,prob,Black non-Hispanic,1+ child in HH,2021 ACS,1.4,470,0.316133598,0.346284671,3.40E-06
Probability 2,prob,Black non-Hispanic,1+ child in HH,2021 ACS,3,529,0.305462016,0.346284671,3.40E-06
Probability 3,prob,Black non-Hispanic,1+ child in HH,2021 ACS,7,422,0.341283985,0.346284671,3.40E-06
Opt-in 1,nonprob,Hispanic,1+ child in HH,2021 ACS,0,904,0.523254476,0.473128953,2.70E-06
Opt-in 2,nonprob,Hispanic,1+ child in HH,2021 ACS,0,852,0.382201693,0.473128953,2.70E-06
Opt-in 3,nonprob,Hispanic,1+ child in HH,2021 ACS,0,884,0.375191155,0.473128953,2.70E-06
Probability 1,prob,Hispanic,1+ child in HH,2021 ACS,1.4,575,0.387814375,0.473128953,2.70E-06
Probability 2,prob,Hispanic,1+ child in HH,2021 ACS,3,809,0.529668816,0.473128953,2.70E-06
Probability 3,prob,Hispanic,1+ child in HH,2021 ACS,7,318,0.487170853,0.473128953,2.70E-06
Opt-in 1,nonprob,White non-Hispanic,1+ child in HH,2021 ACS,0,3079,0.241464254,0.279514049,2.81E-07
Opt-in 2,nonprob,White non-Hispanic,1+ child in HH,2021 ACS,0,3245,0.280587245,0.279514049,2.81E-07
Opt-in 3,nonprob,White non-Hispanic,1+ child in HH,2021 ACS,0,3148,0.232725656,0.279514049,2.81E-07
Probability 1,prob,White non-Hispanic,1+ child in HH,2021 ACS,1.4,3596,0.26388477,0.279514049,2.81E-07
Probability 2,prob,White non-Hispanic,1+ child in HH,2021 ACS,3,3362,0.272746834,0.279514049,2.81E-07
Probability 3,prob,White non-Hispanic,1+ child in HH,2021 ACS,7,3851,0.262335431,0.279514049,2.81E-07
Opt-in 1,nonprob,18-29,Single family home,2021 ACS,0,1170,0.603192997,0.634245039,2.30E-06
Opt-in 2,nonprob,18-29,Single family home,2021 ACS,0,1031,0.598396988,0.634245039,2.30E-06
Opt-in 3,nonprob,18-29,Single family home,2021 ACS,0,693,0.628298689,0.634245039,2.30E-06
Probability 1,prob,18-29,Single family home,2021 ACS,1.4,585,0.686672186,0.634245039,2.30E-06
Probability 2,prob,18-29,Single family home,2021 ACS,3,655,0.631616849,0.634245039,2.30E-06
Probability 3,prob,18-29,Single family home,2021 ACS,7,363,0.584703856,0.634245039,2.30E-06
Opt-in 1,nonprob,30-64,Single family home,2021 ACS,0,2637,0.639481532,0.759085805,5.22E-07
Opt-in 2,nonprob,30-64,Single family home,2021 ACS,0,2564,0.66263519,0.759085805,5.22E-07
Opt-in 3,nonprob,30-64,Single family home,2021 ACS,0,3087,0.72741747,0.759085805,5.22E-07
Probability 1,prob,30-64,Single family home,2021 ACS,1.4,3010,0.7487487,0.759085805,5.22E-07
Probability 2,prob,30-64,Single family home,2021 ACS,3,3192,0.730794495,0.759085805,5.22E-07
Probability 3,prob,30-64,Single family home,2021 ACS,7,3195,0.717519617,0.759085805,5.22E-07
Opt-in 1,nonprob,65+,Single family home,2021 ACS,0,1105,0.777581256,0.782769127,4.59E-07
Opt-in 2,nonprob,65+,Single family home,2021 ACS,0,1336,0.800700936,0.782769127,4.59E-07
Opt-in 3,nonprob,65+,Single family home,2021 ACS,0,1175,0.75825539,0.782769127,4.59E-07
Probability 1,prob,65+,Single family home,2021 ACS,1.4,1432,0.795606996,0.782769127,4.59E-07
Probability 2,prob,65+,Single family home,2021 ACS,3,1261,0.805496957,0.782769127,4.59E-07
Probability 3,prob,65+,Single family home,2021 ACS,7,1400,0.769065896,0.782769127,4.59E-07
Opt-in 1,nonprob,College grad,Single family home,2021 ACS,0,1598,0.744529726,0.778172821,4.71E-07
Opt-in 2,nonprob,College grad,Single family home,2021 ACS,0,1953,0.750745847,0.778172821,4.71E-07
Opt-in 3,nonprob,College grad,Single family home,2021 ACS,0,1799,0.772000883,0.778172821,4.71E-07
Probability 1,prob,College grad,Single family home,2021 ACS,1.4,1867,0.796949837,0.778172821,4.71E-07
Probability 2,prob,College grad,Single family home,2021 ACS,3,2147,0.792734107,0.778172821,4.71E-07
Probability 3,prob,College grad,Single family home,2021 ACS,7,2166,0.773451532,0.778172821,4.71E-07
Opt-in 1,nonprob,HS or less,Single family home,2021 ACS,0,1756,0.592023615,0.698622502,9.08E-07
Opt-in 2,nonprob,HS or less,Single family home,2021 ACS,0,1439,0.617633276,0.698622502,9.08E-07
Opt-in 3,nonprob,HS or less,Single family home,2021 ACS,0,1511,0.669870804,0.698622502,9.08E-07
Probability 1,prob,HS or less,Single family home,2021 ACS,1.4,1617,0.673683065,0.698622502,9.08E-07
Probability 2,prob,HS or less,Single family home,2021 ACS,3,1628,0.661455814,0.698622502,9.08E-07
Probability 3,prob,HS or less,Single family home,2021 ACS,7,1054,0.644992206,0.698622502,9.08E-07
Opt-in 1,nonprob,Some college,Single family home,2021 ACS,0,1558,0.662349379,0.749960029,9.54E-07
Opt-in 2,nonprob,Some college,Single family home,2021 ACS,0,1539,0.680370901,0.749960029,9.54E-07
Opt-in 3,nonprob,Some college,Single family home,2021 ACS,0,1645,0.707302463,0.749960029,9.54E-07
Probability 1,prob,Some college,Single family home,2021 ACS,1.4,1543,0.781109261,0.749960029,9.54E-07
Probability 2,prob,Some college,Single family home,2021 ACS,3,1363,0.746213325,0.749960029,9.54E-07
Probability 3,prob,Some college,Single family home,2021 ACS,7,1743,0.705904669,0.749960029,9.54E-07
Opt-in 1,nonprob,All adults,Single family home,2021 ACS,0,4912,0.662134123,0.740072031,4.92E-07
Opt-in 2,nonprob,All adults,Single family home,2021 ACS,0,4931,0.67927323,0.740072031,4.92E-07
Opt-in 3,nonprob,All adults,Single family home,2021 ACS,0,4955,0.715016524,0.740072031,4.92E-07
Probability 1,prob,All adults,Single family home,2021 ACS,1.4,5027,0.745708847,0.740072031,4.92E-07
Probability 2,prob,All adults,Single family home,2021 ACS,3,5147,0.728617558,0.740072031,4.92E-07
Probability 3,prob,All adults,Single family home,2021 ACS,7,4965,0.706590475,0.740072031,4.92E-07
Opt-in 1,nonprob,Black non-Hispanic,Single family home,2021 ACS,0,656,0.520227692,0.628744428,2.93E-06
Opt-in 2,nonprob,Black non-Hispanic,Single family home,2021 ACS,0,676,0.566336834,0.628744428,2.93E-06
Opt-in 3,nonprob,Black non-Hispanic,Single family home,2021 ACS,0,623,0.575153734,0.628744428,2.93E-06
Probability 1,prob,Black non-Hispanic,Single family home,2021 ACS,1.4,470,0.653528362,0.628744428,2.93E-06
Probability 2,prob,Black non-Hispanic,Single family home,2021 ACS,3,529,0.636388015,0.628744428,2.93E-06
Probability 3,prob,Black non-Hispanic,Single family home,2021 ACS,7,422,0.493834989,0.628744428,2.93E-06
Opt-in 1,nonprob,Hispanic,Single family home,2021 ACS,0,904,0.650198613,0.650261397,2.19E-06
Opt-in 2,nonprob,Hispanic,Single family home,2021 ACS,0,852,0.587398765,0.650261397,2.19E-06
Opt-in 3,nonprob,Hispanic,Single family home,2021 ACS,0,884,0.63418591,0.650261397,2.19E-06
Probability 1,prob,Hispanic,Single family home,2021 ACS,1.4,575,0.704086287,0.650261397,2.19E-06
Probability 2,prob,Hispanic,Single family home,2021 ACS,3,809,0.668064799,0.650261397,2.19E-06
Probability 3,prob,Hispanic,Single family home,2021 ACS,7,318,0.663641234,0.650261397,2.19E-06
Opt-in 1,nonprob,White non-Hispanic,Single family home,2021 ACS,0,3079,0.705981523,0.791363831,4.38E-07
Opt-in 2,nonprob,White non-Hispanic,Single family home,2021 ACS,0,3245,0.720144792,0.791363831,4.38E-07
Opt-in 3,nonprob,White non-Hispanic,Single family home,2021 ACS,0,3148,0.752329502,0.791363831,4.38E-07
Probability 1,prob,White non-Hispanic,Single family home,2021 ACS,1.4,3596,0.783764779,0.791363831,4.38E-07
Probability 2,prob,White non-Hispanic,Single family home,2021 ACS,3,3362,0.772735019,0.791363831,4.38E-07
Probability 3,prob,White non-Hispanic,Single family home,2021 ACS,7,3851,0.76341378,0.791363831,4.38E-07
Opt-in 1,nonprob,18-29,Served in the military,2021 ACS,0,1170,0.282087908,0.033800768,1.23E-07
Opt-in 2,nonprob,18-29,Served in the military,2021 ACS,0,1031,0.268913066,0.033800768,1.23E-07
Opt-in 3,nonprob,18-29,Served in the military,2021 ACS,0,693,0.236319175,0.033800768,1.23E-07
Probability 1,prob,18-29,Served in the military,2021 ACS,1.4,585,0.035232401,0.033800768,1.23E-07
Probability 2,prob,18-29,Served in the military,2021 ACS,3,655,0.0982458,0.033800768,1.23E-07
Probability 3,prob,18-29,Served in the military,2021 ACS,7,363,0.026245867,0.033800768,1.23E-07
Opt-in 1,nonprob,30-64,Served in the military,2021 ACS,0,2637,0.163838876,0.063654051,7.91E-08
Opt-in 2,nonprob,30-64,Served in the military,2021 ACS,0,2564,0.15635924,0.063654051,7.91E-08
Opt-in 3,nonprob,30-64,Served in the military,2021 ACS,0,3087,0.122679471,0.063654051,7.91E-08
Probability 1,prob,30-64,Served in the military,2021 ACS,1.4,3010,0.097501609,0.063654051,7.91E-08
Probability 2,prob,30-64,Served in the military,2021 ACS,3,3192,0.106283897,0.063654051,7.91E-08
Probability 3,prob,30-64,Served in the military,2021 ACS,7,3195,0.097805333,0.063654051,7.91E-08
Opt-in 1,nonprob,65+,Served in the military,2021 ACS,0,1105,0.21035195,0.171673526,2.67E-07
Opt-in 2,nonprob,65+,Served in the military,2021 ACS,0,1336,0.200780456,0.171673526,2.67E-07
Opt-in 3,nonprob,65+,Served in the military,2021 ACS,0,1175,0.228712088,0.171673526,2.67E-07
Probability 1,prob,65+,Served in the military,2021 ACS,1.4,1432,0.192982612,0.171673526,2.67E-07
Probability 2,prob,65+,Served in the military,2021 ACS,3,1261,0.218426591,0.171673526,2.67E-07
Probability 3,prob,65+,Served in the military,2021 ACS,7,1400,0.201387237,0.171673526,2.67E-07
Opt-in 1,nonprob,College grad,Served in the military,2021 ACS,0,1598,0.214235572,0.077107879,1.41E-07
Opt-in 2,nonprob,College grad,Served in the military,2021 ACS,0,1953,0.221518827,0.077107879,1.41E-07
Opt-in 3,nonprob,College grad,Served in the military,2021 ACS,0,1799,0.1552763,0.077107879,1.41E-07
Probability 1,prob,College grad,Served in the military,2021 ACS,1.4,1867,0.092583532,0.077107879,1.41E-07
Probability 2,prob,College grad,Served in the military,2021 ACS,3,2147,0.096728596,0.077107879,1.41E-07
Probability 3,prob,College grad,Served in the military,2021 ACS,7,2166,0.095180974,0.077107879,1.41E-07
Opt-in 1,nonprob,HS or less,Served in the military,2021 ACS,0,1756,0.184347301,0.06788515,1.14E-07
Opt-in 2,nonprob,HS or less,Served in the military,2021 ACS,0,1439,0.169322725,0.06788515,1.14E-07
Opt-in 3,nonprob,HS or less,Served in the military,2021 ACS,0,1511,0.169865317,0.06788515,1.14E-07
Probability 1,prob,HS or less,Served in the military,2021 ACS,1.4,1617,0.097283954,0.06788515,1.14E-07
Probability 2,prob,HS or less,Served in the military,2021 ACS,3,1628,0.129838071,0.06788515,1.14E-07
Probability 3,prob,HS or less,Served in the military,2021 ACS,7,1054,0.117038999,0.06788515,1.14E-07
Opt-in 1,nonprob,Some college,Served in the military,2021 ACS,0,1558,0.197230976,0.101187212,2.36E-07
