sampid,type,subgroup_category,benchmark_category,benchmark_source,response_rate,n,phat,p0,v0
Probability 2,prob,All adults,Covered by health insurance,2020 NHIS,3,5147,0.873894988,0.907895157,1.11E-05
Probability 3,prob,All adults,Covered by health insurance,2020 NHIS,7,4965,0.888514405,0.907895157,1.11E-05
Opt-in 1,nonprob,Black non-Hispanic,Covered by health insurance,2020 NHIS,0,656,0.781481047,0.889834319,7.93E-05
Opt-in 2,nonprob,Black non-Hispanic,Covered by health insurance,2020 NHIS,0,676,0.771293362,0.889834319,7.93E-05
Opt-in 3,nonprob,Black non-Hispanic,Covered by health insurance,2020 NHIS,0,623,0.836663749,0.889834319,7.93E-05
Probability 1,prob,Black non-Hispanic,Covered by health insurance,2020 NHIS,1.4,470,0.910580876,0.889834319,7.93E-05
Probability 2,prob,Black non-Hispanic,Covered by health insurance,2020 NHIS,3,529,0.856043356,0.889834319,7.93E-05
Probability 3,prob,Black non-Hispanic,Covered by health insurance,2020 NHIS,7,422,0.821080545,0.889834319,7.93E-05
Opt-in 1,nonprob,Hispanic,Covered by health insurance,2020 NHIS,0,904,0.782156994,0.779055025,0.000149367
Opt-in 2,nonprob,Hispanic,Covered by health insurance,2020 NHIS,0,852,0.768451527,0.779055025,0.000149367
Opt-in 3,nonprob,Hispanic,Covered by health insurance,2020 NHIS,0,884,0.756532715,0.779055025,0.000149367
Probability 1,prob,Hispanic,Covered by health insurance,2020 NHIS,1.4,575,0.762654956,0.779055025,0.000149367
Probability 2,prob,Hispanic,Covered by health insurance,2020 NHIS,3,809,0.714688594,0.779055025,0.000149367
Probability 3,prob,Hispanic,Covered by health insurance,2020 NHIS,7,318,0.761674565,0.779055025,0.000149367
Opt-in 1,nonprob,White non-Hispanic,Covered by health insurance,2020 NHIS,0,3079,0.904396826,0.943548464,6.90E-06
Opt-in 2,nonprob,White non-Hispanic,Covered by health insurance,2020 NHIS,0,3245,0.89760109,0.943548464,6.90E-06
Opt-in 3,nonprob,White non-Hispanic,Covered by health insurance,2020 NHIS,0,3148,0.907660222,0.943548464,6.90E-06
Probability 1,prob,White non-Hispanic,Covered by health insurance,2020 NHIS,1.4,3596,0.930088016,0.943548464,6.90E-06
Probability 2,prob,White non-Hispanic,Covered by health insurance,2020 NHIS,3,3362,0.916447024,0.943548464,6.90E-06
Probability 3,prob,White non-Hispanic,Covered by health insurance,2020 NHIS,7,3851,0.925493361,0.943548464,6.90E-06
Opt-in 1,nonprob,18-29,Never smoked 100 cigarettes,2020 NHIS,0,1170,0.728414226,0.809317745,6.46E-05
Opt-in 2,nonprob,18-29,Never smoked 100 cigarettes,2020 NHIS,0,1031,0.689461664,0.809317745,6.46E-05
Opt-in 3,nonprob,18-29,Never smoked 100 cigarettes,2020 NHIS,0,693,0.806594096,0.809317745,6.46E-05
Probability 1,prob,18-29,Never smoked 100 cigarettes,2020 NHIS,1.4,585,0.838804844,0.809317745,6.46E-05
Probability 2,prob,18-29,Never smoked 100 cigarettes,2020 NHIS,3,655,0.831171164,0.809317745,6.46E-05
Probability 3,prob,18-29,Never smoked 100 cigarettes,2020 NHIS,7,363,0.819052739,0.809317745,6.46E-05
Opt-in 1,nonprob,30-64,Never smoked 100 cigarettes,2020 NHIS,0,2637,0.475492133,0.615221179,2.77E-05
Opt-in 2,nonprob,30-64,Never smoked 100 cigarettes,2020 NHIS,0,2564,0.514756517,0.615221179,2.77E-05
